id,VMT,count,percentage,FIPS
0,Out of region,0,0,#N/A
498568,"1 (Tract 14, El Paso, TX)",7357.9,0.04,481410014001
498577,"4 (Tract 104.01, El Paso, TX)",25551.10004,0.15,481410104014
498581,"1 (Tract 20, El Paso, TX)",4370.100001,0.03,481410020001
500554,"1 (Tract 103.36, El Paso, TX)",77458.60002,0.45,481410103361
500605,"4 (Tract 43.11, El Paso, TX)",22515.79998,0.13,481410043114
500643,"1 (Tract 103.03, El Paso, TX)",34128.29999,0.2,481410103031
500654,"1 (Tract 104.05, El Paso, TX)",73765.40001,0.43,481410104051
501624,"1 (Tract 104.06, El Paso, TX)",42173.39986,0.25,481410104061
501625,"3 (Tract 1.11, El Paso, TX)",14893.79998,0.09,481410001113
502653,"6 (Tract 3.02, El Paso, TX)",13131.39996,0.08,481410003026
502689,"2 (Tract 34.04, El Paso, TX)",37682.40001,0.22,481410034042
503719,"6 (Tract 103.07, El Paso, TX)",35341.39997,0.21,481410103076
509320,"2 (Tract 102.03, El Paso, TX)",105926.2999,0.62,481410102032
509453,"2 (Tract 103.19, El Paso, TX)",10334.00002,0.06,481410103192
513280,"3 (Tract 104.01, El Paso, TX)",27928.6,0.16,481410104013
515422,"4 (Tract 10.01, El Paso, TX)",16572.50007,0.1,481410010014
515481,"2 (Tract 24, El Paso, TX)",8937.599989,0.05,481410024002
515527,"1 (Tract 102.21, El Paso, TX)",50073.20003,0.29,481410102211
515590,"1 (Tract 39.03, El Paso, TX)",21415.19994,0.13,481410039031
515672,"3 (Tract 103.47, El Paso, TX)",31318.5,0.18,481410103473
516831,"3 (Tract 1.12, El Paso, TX)",17874.3,0.1,481410001123
517026,"3 (Tract 11.09, El Paso, TX)",32449.89999,0.19,481410011093
517123,"4 (Tract 105.01, El Paso, TX)",45576.99994,0.27,481410105014
517408,"4 (Tract 22.02, El Paso, TX)",4294.699976,0.03,481410022024
517413,"4 (Tract 8, El Paso, TX)",10892.40001,0.06,481410008004
517532,"2 (Tract 11.13, El Paso, TX)",15273.29998,0.09,481410011132
518512,"4 (Tract 31, El Paso, TX)",12254.59999,0.07,481410031004
518526,"3 (Tract 103.38, El Paso, TX)",37494.40007,0.22,481410103383
518570,"1 (Tract 12.02, El Paso, TX)",55557.79996,0.32,481410012021
520617,"3 (Tract 24, El Paso, TX)",9868.79995,0.06,481410024003
524652,"3 (Tract 103.42, El Paso, TX)",145718.8,0.85,481410103423
528167,"2 (Tract 103.29, El Paso, TX)",45015.80003,0.26,481410103292
528190,"4 (Tract 13.02, El Paso, TX)",67917.99996,0.4,481410013024
528381,"3 (Tract 40.02, El Paso, TX)",19351.7,0.11,481410040023
529107,"2 (Tract 10.01, El Paso, TX)",16159.6,0.09,481410010012
529227,"2 (Tract 11.14, El Paso, TX)",46931.59998,0.27,481410011142
530145,"1 (Tract 41.04, El Paso, TX)",11494.19999,0.07,481410041041
530198,"2 (Tract 1.09, El Paso, TX)",46546.80003,0.27,481410001092
530241,"2 (Tract 102.18, El Paso, TX)",67710.29999,0.4,481410102182
532681,"1 (Tract 103.35, El Paso, TX)",42222.1999,0.25,481410103351
534152,"2 (Tract 43.16, El Paso, TX)",53972.10002,0.32,481410043162
534256,"2 (Tract 105.06, El Paso, TX)",38343.10001,0.22,481410105062
534263,"1 (Tract 102.16, El Paso, TX)",80010.50001,0.47,481410102161
534429,"1 (Tract 11.13, El Paso, TX)",22623.69999,0.13,481410011131
534459,"2 (Tract 34.02, El Paso, TX)",41152.40006,0.24,481410034022
535224,"1 (Tract 11.09, El Paso, TX)",26039.69998,0.15,481410011091
535253,"2 (Tract 43.12, El Paso, TX)",14634.79999,0.09,481410043122
535256,"1 (Tract 102.22, El Paso, TX)",18106.30002,0.11,481410102221
535291,"3 (Tract 103.07, El Paso, TX)",9273.299999,0.05,481410103073
535323,"1 (Tract 33, El Paso, TX)",9747.400006,0.06,481410033001
535334,"4 (Tract 40.02, El Paso, TX)",22635.40003,0.13,481410040024
535336,"4 (Tract 34.03, El Paso, TX)",14461.69999,0.08,481410034034
535362,"3 (Tract 20, El Paso, TX)",7826.899998,0.05,481410020003
535368,"2 (Tract 102.21, El Paso, TX)",14275.19999,0.08,481410102212
535374,"1 (Tract 3.01, El Paso, TX)",8671.000001,0.05,481410003011
535404,"1 (Tract 103.45, El Paso, TX)",55472.70006,0.32,481410103451
535412,"1 (Tract 35.01, El Paso, TX)",16386.9,0.1,481410035011
535439,"2 (Tract 105.02, El Paso, TX)",23511.50003,0.14,481410105022
535445,"2 (Tract 2.04, El Paso, TX)",19953.19997,0.12,481410002042
535464,"1 (Tract 4.03, El Paso, TX)",24789.59999,0.14,481410004031
535476,"1 (Tract 43.10, El Paso, TX)",12309.20001,0.07,481410043101
535477,"2 (Tract 1.12, El Paso, TX)",23778.80002,0.14,481410001122
535499,"2 (Tract 6, El Paso, TX)",8024.200014,0.05,481410006002
535522,"4 (Tract 103.07, El Paso, TX)",17949.20003,0.1,481410103074
535541,"2 (Tract 43.18, El Paso, TX)",12341.40001,0.07,481410043182
536993,"3 (Tract 38.03, El Paso, TX)",31117.39999,0.18,481410038033
538016,"2 (Tract 104.01, El Paso, TX)",42542.60001,0.25,481410104012
539900,"5 (Tract 3.02, El Paso, TX)",24069.00004,0.14,481410003025
545059,"2 (Tract 101.02, El Paso, TX)",75535.50012,0.44,481410101022
545127,"3 (Tract 34.04, El Paso, TX)",11976.60002,0.07,481410034043
548476,"6 (Tract 9, El Paso, TX)",11986.10001,0.07,481410009006
548502,"2 (Tract 13.01, El Paso, TX)",37378.20007,0.22,481410013012
548580,"3 (Tract 104.09, El Paso, TX)",32987.80002,0.19,481410104093
548588,"1 (Tract 105.05, El Paso, TX)",30563.99998,0.18,481410105051
548608,"2 (Tract 103.36, El Paso, TX)",23535,0.14,481410103362
548643,"3 (Tract 37.02, El Paso, TX)",33406.90004,0.2,481410037023
548644,"1 (Tract 103.28, El Paso, TX)",74491.50005,0.44,481410103281
548713,"3 (Tract 103.45, El Paso, TX)",119740.2,0.7,481410103453
548756,"1 (Tract 103.32, El Paso, TX)",118324.6,0.69,481410103321
548763,"2 (Tract 35.01, El Paso, TX)",13295.70001,0.08,481410035012
548782,"2 (Tract 13.02, El Paso, TX)",19751.49997,0.12,481410013022
553680,"1 (Tract 103.25, El Paso, TX)",35728.60001,0.21,481410103251
553685,"1 (Tract 103.46, El Paso, TX)",39839.29994,0.23,481410103461
553696,"3 (Tract 1.07, El Paso, TX)",13671.10002,0.08,481410001073
553705,"2 (Tract 102.15, El Paso, TX)",78957.20003,0.46,481410102152
553708,"3 (Tract 2.06, El Paso, TX)",41988.99999,0.25,481410002063
553738,"2 (Tract 22.02, El Paso, TX)",12697.00002,0.07,481410022022
553755,"1 (Tract 103.43, El Paso, TX)",42966.00002,0.25,481410103431
553758,"1 (Tract 102.11, El Paso, TX)",44320.29998,0.26,481410102111
553842,"3 (Tract 37.01, El Paso, TX)",19434.39996,0.11,481410037013
553848,"5 (Tract 25, El Paso, TX)",8498.000009,0.05,481410025005
553861,"3 (Tract 105.01, El Paso, TX)",50703.09994,0.3,481410105013
553893,"1 (Tract 26, El Paso, TX)",13762.99999,0.08,481410026001
553942,"3 (Tract 40.04, El Paso, TX)",38987,0.23,481410040043
553945,"1 (Tract 22.01, El Paso, TX)",29979.00008,0.18,481410022011
553966,"2 (Tract 12.01, El Paso, TX)",49963.39993,0.29,481410012012
554829,"1 (Tract 43.03, El Paso, TX)",32749.69996,0.19,481410043031
554832,"4 (Tract 1.06, El Paso, TX)",21948.49999,0.13,481410001064
554849,"2 (Tract 105.01, El Paso, TX)",14617.70002,0.09,481410105012
554863,"1 (Tract 42.02, El Paso, TX)",26195.59999,0.15,481410042021
554874,"2 (Tract 103.11, El Paso, TX)",24225.4,0.14,481410103112
554886,"3 (Tract 43.18, El Paso, TX)",19160.59995,0.11,481410043183
554906,"2 (Tract 105.04, El Paso, TX)",20584.00002,0.12,481410105042
554910,"1 (Tract 1.07, El Paso, TX)",20903.10003,0.12,481410001071
554966,"3 (Tract 32, El Paso, TX)",7600.299999,0.04,481410032003
554979,"3 (Tract 13.02, El Paso, TX)",20470.80001,0.12,481410013023
554993,"3 (Tract 26, El Paso, TX)",10431.20001,0.06,481410026003
555018,"3 (Tract 41.05, El Paso, TX)",10053.9,0.06,481410041053
555021,"1 (Tract 10.02, El Paso, TX)",14335.60001,0.08,481410010021
555055,"2 (Tract 102.22, El Paso, TX)",28290.49996,0.17,481410102222
555067,"5 (Tract 42.01, El Paso, TX)",4693.699997,0.03,481410042015
555072,"2 (Tract 41.04, El Paso, TX)",18816.4,0.11,481410041042
555083,"2 (Tract 102.11, El Paso, TX)",40357.49999,0.24,481410102112
555091,"3 (Tract 6, El Paso, TX)",37446.49999,0.22,481410006003
555134,"6 (Tract 1.07, El Paso, TX)",17235.79999,0.1,481410001076
557669,"4 (Tract 2.04, El Paso, TX)",30912.49999,0.18,481410002044
557706,"1 (Tract 13.01, El Paso, TX)",27731.30003,0.16,481410013011
557711,"2 (Tract 103.25, El Paso, TX)",41088.5,0.24,481410103252
557725,"1 (Tract 43.19, El Paso, TX)",28937.59994,0.17,481410043191
557728,"1 (Tract 103.22, El Paso, TX)",50337.60002,0.29,481410103221
557737,"1 (Tract 12.03, El Paso, TX)",15804.3,0.09,481410012031
557738,"2 (Tract 36.01, El Paso, TX)",18290.30003,0.11,481410036012
557762,"2 (Tract 103.16, El Paso, TX)",33886.10006,0.2,481410103162
557771,"2 (Tract 42.01, El Paso, TX)",9736.199991,0.06,481410042012
557799,"2 (Tract 40.03, El Paso, TX)",25296.5,0.15,481410040032
557837,"3 (Tract 39.01, El Paso, TX)",19022.79999,0.11,481410039013
557842,"4 (Tract 30, El Paso, TX)",15852.99997,0.09,481410030004
557911,"2 (Tract 39.01, El Paso, TX)",22404.6,0.13,481410039012
557914,"4 (Tract 103.41, El Paso, TX)",150669.3001,0.88,481410103414
557917,"2 (Tract 30, El Paso, TX)",4738.000001,0.03,481410030002
557926,"2 (Tract 38.01, El Paso, TX)",31138.89997,0.18,481410038012
557942,"1 (Tract 105.01, El Paso, TX)",23946.50003,0.14,481410105011
557952,"3 (Tract 1.06, El Paso, TX)",90889.09994,0.53,481410001063
557955,"1 (Tract 102.13, El Paso, TX)",135613.1,0.79,481410102131
557987,"2 (Tract 103.39, El Paso, TX)",46170.90007,0.27,481410103392
558006,"2 (Tract 39.02, El Paso, TX)",25741.2,0.15,481410039022
558836,"7 (Tract 33, El Paso, TX)",20582.09994,0.12,481410033007
558989,"2 (Tract 103.45, El Paso, TX)",52035.60003,0.3,481410103452
559008,"2 (Tract 38.04, El Paso, TX)",14226.59997,0.08,481410038042
559063,"4 (Tract 103.39, El Paso, TX)",25239.10004,0.15,481410103394
562776,"3 (Tract 103.46, El Paso, TX)",37920.20001,0.22,481410103463
562844,"2 (Tract 103.07, El Paso, TX)",8836.000003,0.05,481410103072
562845,"1 (Tract 25, El Paso, TX)",5696.800008,0.03,481410025001
562901,"1 (Tract 43.11, El Paso, TX)",11285.40006,0.07,481410043111
562910,"4 (Tract 11.14, El Paso, TX)",15458.40004,0.09,481410011144
562938,"4 (Tract 1.01, El Paso, TX)",33670.70001,0.2,481410001014
562955,"3 (Tract 23, El Paso, TX)",9308.399993,0.05,481410023003
563011,"1 (Tract 13.02, El Paso, TX)",16363.60001,0.1,481410013021
563031,"1 (Tract 103.41, El Paso, TX)",531346,3.11,481410103411
563068,"1 (Tract 101.01, El Paso, TX)",1785.200019,0.01,481410101011
563071,"2 (Tract 103.35, El Paso, TX)",74537.50003,0.44,481410103352
566285,"1 (Tract 23, El Paso, TX)",5563.800002,0.03,481410023001
566298,"1 (Tract 43.17, El Paso, TX)",45429.89992,0.27,481410043171
566334,"2 (Tract 1.01, El Paso, TX)",25983.60002,0.15,481410001012
566341,"1 (Tract 103.37, El Paso, TX)",58502.7,0.34,481410103371
566358,"1 (Tract 101.02, El Paso, TX)",27827.80004,0.16,481410101021
566449,"3 (Tract 43.16, El Paso, TX)",20351.5,0.12,481410043163
571383,"1 (Tract 103.26, El Paso, TX)",22193.19995,0.13,481410103261
572236,"4 (Tract 102.21, El Paso, TX)",32113.40005,0.19,481410102214
572263,"3 (Tract 36.01, El Paso, TX)",12743.50002,0.07,481410036013
572347,"3 (Tract 13.01, El Paso, TX)",27102.4,0.16,481410013013
572389,"1 (Tract 103.33, El Paso, TX)",57527.20007,0.34,481410103331
572431,"2 (Tract 103.44, El Paso, TX)",48188.89998,0.28,481410103442
572487,"5 (Tract 28, El Paso, TX)",12738.4,0.07,481410028005
572518,"1 (Tract 34.04, El Paso, TX)",29810.09998,0.17,481410034041
572534,"2 (Tract 21, El Paso, TX)",6730.100014,0.04,481410021002
573144,"2 (Tract 103.46, El Paso, TX)",19748.2,0.12,481410103462
573148,"1 (Tract 11.04, El Paso, TX)",69281.80004,0.41,481410011041
573197,"1 (Tract 1.09, El Paso, TX)",40485.70004,0.24,481410001091
573229,"1 (Tract 104.01, El Paso, TX)",40509.90006,0.24,481410104011
573233,"1 (Tract 43.09, El Paso, TX)",46377.30006,0.27,481410043091
573234,"1 (Tract 36.02, El Paso, TX)",24248.09999,0.14,481410036021
573268,"2 (Tract 15.01, El Paso, TX)",42011.29999,0.25,481410015012
573272,"1 (Tract 43.16, El Paso, TX)",33422.09997,0.2,481410043161
573356,"5 (Tract 22.02, El Paso, TX)",12085.39998,0.07,481410022025
573372,"2 (Tract 43.10, El Paso, TX)",22877.30002,0.13,481410043102
573407,"2 (Tract 103.03, El Paso, TX)",16276.50001,0.1,481410103032
573420,"1 (Tract 104.07, El Paso, TX)",109757.4,0.64,481410104071
573421,"3 (Tract 103.37, El Paso, TX)",45881.10002,0.27,481410103373
573456,"1 (Tract 105.04, El Paso, TX)",26600.29999,0.16,481410105041
573465,"1 (Tract 1.12, El Paso, TX)",21496.10001,0.13,481410001121
574122,"4 (Tract 1.12, El Paso, TX)",20335.39997,0.12,481410001124
574163,"5 (Tract 26, El Paso, TX)",2955.499994,0.02,481410026005
574195,"3 (Tract 43.03, El Paso, TX)",20531.90008,0.12,481410043033
574216,"1 (Tract 2.06, El Paso, TX)",22619.39999,0.13,481410002061
574264,"2 (Tract 103.32, El Paso, TX)",136276.8,0.8,481410103322
574278,"2 (Tract 11.15, El Paso, TX)",9924.900008,0.06,481410011152
574358,"5 (Tract 2.04, El Paso, TX)",18983.29998,0.11,481410002045
574444,"1 (Tract 41.03, El Paso, TX)",48907.50001,0.29,481410041031
574457,"4 (Tract 25, El Paso, TX)",7056.600008,0.04,481410025004
576565,"1 (Tract 103.31, El Paso, TX)",99483.90002,0.58,481410103311
580298,"2 (Tract 9, El Paso, TX)",12828.89999,0.08,481410009002
580311,"2 (Tract 103.22, El Paso, TX)",46522.00005,0.27,481410103222
580320,"1 (Tract 2.05, El Paso, TX)",29072.10002,0.17,481410002051
580354,"2 (Tract 3.01, El Paso, TX)",13427.90002,0.08,481410003012
580450,"2 (Tract 103.23, El Paso, TX)",52176.09995,0.31,481410103232
580468,"3 (Tract 103.25, El Paso, TX)",56872.40003,0.33,481410103253
580474,"3 (Tract 11.12, El Paso, TX)",27218.19994,0.16,481410011123
580525,"3 (Tract 43.12, El Paso, TX)",18265.80002,0.11,481410043123
585286,"2 (Tract 103.28, El Paso, TX)",22918.50002,0.13,481410103282
585316,"1 (Tract 102.12, El Paso, TX)",141857.3001,0.83,481410102121
585377,"1 (Tract 11.15, El Paso, TX)",15630.89996,0.09,481410011151
585417,"4 (Tract 16, El Paso, TX)",21264.39997,0.12,481410016004
588585,"1 (Tract 102.17, El Paso, TX)",33916.10001,0.2,481410102171
588644,"2 (Tract 102.17, El Paso, TX)",82851.60006,0.48,481410102172
588657,"1 (Tract 41.05, El Paso, TX)",18797.60001,0.11,481410041051
588658,"1 (Tract 103.47, El Paso, TX)",58882.39996,0.34,481410103471
588660,"3 (Tract 4.01, El Paso, TX)",94546.99988,0.55,481410004013
588694,"5 (Tract 41.04, El Paso, TX)",27268.00002,0.16,481410041045
588707,"2 (Tract 103.30, El Paso, TX)",104276.3001,0.61,481410103302
588769,"2 (Tract 4.04, El Paso, TX)",25789.60003,0.15,481410004042
588904,"2 (Tract 1.10, El Paso, TX)",30269.60002,0.18,481410001102
588935,"8 (Tract 25, El Paso, TX)",16675.29999,0.1,481410025008
589700,"2 (Tract 32, El Paso, TX)",14472.19999,0.08,481410032002
589720,"2 (Tract 8, El Paso, TX)",35904.99999,0.21,481410008002
589748,"2 (Tract 103.42, El Paso, TX)",33121.20002,0.19,481410103422
589753,"2 (Tract 106, El Paso, TX)",7800.699961,0.05,481410106002
589768,"5 (Tract 33, El Paso, TX)",4433.700003,0.03,481410033005
589847,"3 (Tract 35.02, El Paso, TX)",15856.90001,0.09,481410035023
589964,"5 (Tract 16, El Paso, TX)",17530.29999,0.1,481410016005
591826,"4 (Tract 6, El Paso, TX)",16742.20001,0.1,481410006004
592016,"5 (Tract 1.07, El Paso, TX)",23143.60002,0.14,481410001075
592020,"4 (Tract 1.07, El Paso, TX)",24912.2,0.15,481410001074
592058,"2 (Tract 104.04, El Paso, TX)",53188.89996,0.31,481410104042
592063,"3 (Tract 102.21, El Paso, TX)",34029.90001,0.2,481410102213
592105,"1 (Tract 41.07, El Paso, TX)",23354.90002,0.14,481410041071
592152,"1 (Tract 11.07, El Paso, TX)",55158.29993,0.32,481410011071
592761,"2 (Tract 103.41, El Paso, TX)",59652.70003,0.35,481410103412
592764,"3 (Tract 105.02, El Paso, TX)",23600.19999,0.14,481410105023
592790,"3 (Tract 43.09, El Paso, TX)",20298.59998,0.12,481410043093
592809,"1 (Tract 21, El Paso, TX)",7863.499992,0.05,481410021001
592938,"2 (Tract 2.06, El Paso, TX)",31858.99993,0.19,481410002062
597403,"3 (Tract 40.03, El Paso, TX)",25954.29998,0.15,481410040033
597419,"2 (Tract 41.03, El Paso, TX)",25562.20004,0.15,481410041032
598491,"1 (Tract 106, El Paso, TX)",34172.20001,0.2,481410106001
598580,"1 (Tract 22.02, El Paso, TX)",14130.79997,0.08,481410022021
598650,"5 (Tract 34.03, El Paso, TX)",25273.19998,0.15,481410034035
600364,"3 (Tract 10.02, El Paso, TX)",18105.70001,0.11,481410010023
600439,"2 (Tract 34.03, El Paso, TX)",21526.09998,0.13,481410034032
600476,"3 (Tract 43.11, El Paso, TX)",23330.00005,0.14,481410043113
600844,"2 (Tract 103.12, El Paso, TX)",29429.00001,0.17,481410103122
600862,"2 (Tract 11.12, El Paso, TX)",27568.39999,0.16,481410011122
600995,"3 (Tract 103.43, El Paso, TX)",63024.39999,0.37,481410103433
602356,"1 (Tract 105.06, El Paso, TX)",48366.50003,0.28,481410105061
602451,"1 (Tract 103.40, El Paso, TX)",20565.20001,0.12,481410103401
605630,"1 (Tract 103.24, El Paso, TX)",81673.50003,0.48,481410103241
605638,"2 (Tract 43.19, El Paso, TX)",29995.90001,0.18,481410043192
605680,"2 (Tract 102.12, El Paso, TX)",101990.6,0.6,481410102122
606743,"3 (Tract 43.13, El Paso, TX)",6907.200013,0.04,481410043133
609118,"1 (Tract 103.17, El Paso, TX)",24183.50003,0.14,481410103171
609123,"2 (Tract 10.02, El Paso, TX)",25505.79998,0.15,481410010022
609127,"2 (Tract 16, El Paso, TX)",19483.20006,0.11,481410016002
609134,"1 (Tract 103.30, El Paso, TX)",108302.4999,0.63,481410103301
609136,"3 (Tract 11.14, El Paso, TX)",24513.20004,0.14,481410011143
